id,nombre,categoria,energia_kcal,proteinas_g,grasas_totales_g,grasas_saturadas_g,grasas_trans_g,grasas_insaturadas_g,carbohidratos_g,azucares_g,fibra_g,sodio_mg,colesterol_mg,calcio_mg,hierro_mg,alergenos
60,Trufa negra (melanosporum),Hongos,92,6.0,0.5,0.1,0.0,0.4,17.0,0.0,8.0,140,0,50,8.0,—
61,Piña (ananá) en rodajas,Frutas,50,0.5,0.1,0.0,0.0,0.1,13.1,9.9,1.4,1,0,13,0.3,—
62,Pera,Frutas,57,0.4,0.1,0.0,0.0,0.1,15.2,9.8,3.1,1,0,9,0.2,—
63,Higos frescos,Frutas,74,0.8,0.3,0.1,0.0,0.2,19.2,16.3,2.9,1,0,35,0.4,—
64,Nuez (pecan / walnut),Frutos secos,654,15.2,65.2,6.1,0.0,59.1,13.7,2.6,6.7,0,0,98,2.9,frutos secos
65,Piñones,Frutos secos,673,13.7,68.4,4.9,0.0,63.5,13.1,3.6,3.7,2,0,16,5.5,frutos secos
66,Maíz (choclo en grano, cocido),Vegetales,96,3.4,1.5,0.2,0.0,1.3,21.0,4.5,2.4,1,0,2,0.5,—
67,Remolacha asada,Vegetales,43,1.6,0.2,0.0,0.0,0.2,9.6,7.0,2.8,78,0,16,0.8,—
68,Aguacate / palta,Vegetales,160,2.0,14.7,2.1,0.0,12.6,8.5,0.7,6.7,7,0,12,0.6,—
69,Alcaparras en conserva,Condimentos,23,2.4,0.9,0.2,0.0,0.7,4.9,0.4,3.2,2964,0,40,1.7,—
70,Pepinillos en vinagre,Condimentos,11,0.3,0.2,0.0,0.0,0.2,2.3,1.1,1.2,1208,0,1,0.4,—
71,Chile en hojuelas (seco),Especias y condimentos,314,12.0,17.3,3.0,0.0,14.3,54.0,10.0,28.0,30,0,148,8.0,—
72,Sal (cloruro de sodio),Especias y condimentos,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38758,0,24,0.3,—
73,Azúcar blanca (masa),Masas y harinas,387,0.0,0.0,0.0,0.0,0.0,99.8,99.8,0.0,1,0,1,0.0,—
74,Huevo entero,Masas y harinas,147,12.6,9.9,3.1,0.0,6.8,0.8,0.4,0.0,140,423,53,1.8,huevo
75,Cerveza (para masa),Masas y harinas,43,0.5,0.0,0.0,0.0,0.0,3.6,0.0,0.0,4,0,4,0.0,gluten
